"year_num","month_num","month_first_day","month_last_day"
2016,1,"2016-01-01","2016-01-31"
2016,2,"2016-02-01","2016-02-29"
2016,3,"2016-03-01","2016-03-31"
2016,4,"2016-04-01","2016-04-30"
2016,5,"2016-05-01","2016-05-31"
2016,6,"2016-06-01","2016-06-30"
2016,7,"2016-07-01","2016-07-31"
2016,8,"2016-08-01","2016-08-31"
2016,9,"2016-09-01","2016-09-30"
2016,10,"2016-10-01","2016-10-31"
2016,11,"2016-11-01","2016-11-30"
2016,12,"2016-12-01","2016-12-31"
2017,1,"2017-01-01","2017-01-31"
2017,2,"2017-02-01","2017-02-28"
2017,3,"2017-03-01","2017-03-31"
2017,4,"2017-04-01","2017-04-30"
2017,5,"2017-05-01","2017-05-31"
2017,6,"2017-06-01","2017-06-30"
2017,7,"2017-07-01","2017-07-31"
2017,8,"2017-08-01","2017-08-31"
2017,9,"2017-09-01","2017-09-30"
2017,10,"2017-10-01","2017-10-31"
2017,11,"2017-11-01","2017-11-30"
2017,12,"2017-12-01","2017-12-31"
2018,1,"2018-01-01","2018-01-31"
2018,2,"2018-02-01","2018-02-28"
2018,3,"2018-03-01","2018-03-31"
2018,4,"2018-04-01","2018-04-30"
2018,5,"2018-05-01","2018-05-31"
2018,6,"2018-06-01","2018-06-30"
2018,7,"2018-07-01","2018-07-31"
2018,8,"2018-08-01","2018-08-31"
2018,9,"2018-09-01","2018-09-30"
2018,10,"2018-10-01","2018-10-31"
2018,11,"2018-11-01","2018-11-30"
2018,12,"2018-12-01","2018-12-31"
2019,1,"2019-01-01","2019-01-31"
2019,2,"2019-02-01","2019-02-28"
2019,3,"2019-03-01","2019-03-31"
2019,4,"2019-04-01","2019-04-30"
2019,5,"2019-05-01","2019-05-31"
2019,6,"2019-06-01","2019-06-30"
2019,7,"2019-07-01","2019-07-31"
2019,8,"2019-08-01","2019-08-31"
2019,9,"2019-09-01","2019-09-30"
2019,10,"2019-10-01","2019-10-31"
2019,11,"2019-11-01","2019-11-30"
2019,12,"2019-12-01","2019-12-31"
2020,1,"2020-01-01","2020-01-31"
